test_id,description,expected_status,actual_status,expected_target,actual_target,expected_safety,actual_safety,passed,latency_ms
T01,Voice + Vision + Gesture: Correct pointing to an object,VALID,VALID,bottle,bottle,SAFE,SAFE,PASS,10.15
T02,Voice + Vision + Gesture: Modality conflict (points away from object),MODALITY_CONFLICT,MODALITY_CONFLICT,bottle,bottle,,SAFE,PASS,5.55
T03,Voice + Vision: Object requested is not in scene,TARGET_NOT_FOUND,TARGET_NOT_FOUND,laptop,laptop,,UNSAFE,PASS,4.57
T04,Voice + Vision + Gesture: Object absent from pointed sector,VALID,VALID,laptop,laptop,,SAFE,PASS,6.01
T05,Voice + Vision + Gesture: Multiple objects in pointed sector (Ambiguous),VALID,VALID,laptop,laptop,,SAFE,PASS,7.31
T06,Voice Only: Emergency Stop,VALID,VALID,,,STOP,STOP,PASS,4.84
T07,Unsafe obstacle distance,VALID,VALID,,,STOP,STOP,PASS,5.82
T08,Voice + Vision: Explicit target agreement,VALID,VALID,laptop,laptop,SAFE,SAFE,PASS,6.72
T09,Voice only: General action without object,VALID,VALID,,,SAFE,SAFE,PASS,6.75
T10,Low confidence voice input,LOW_CONFIDENCE,LOW_CONFIDENCE,bottle,bottle,,SAFE,PASS,6.71
T11,Invalid Input (No relevant data),INVALID_INPUT,INVALID_INPUT,,,,UNSAFE,PASS,5.30
T12,Multi-turn context: First command,VALID,VALID,apple,apple,SAFE,SAFE,PASS,6.29
T13,Multi-turn context: Pronoun resolution (follows T12),VALID,VALID,apple,apple,SAFE,SAFE,PASS,6.69
T14,Voice + Vision: Ambiguous explicit target (two bottles),VALID,VALID,bottle,bottle,SAFE,SAFE,PASS,6.59
T15,Voice + Gesture: Modality Conflict,MODALITY_CONFLICT,MODALITY_CONFLICT,cup,cup,,SAFE,PASS,7.48
T16,Human intervention required (medium risk),VALID,VALID,knife,knife,SAFE,SAFE,PASS,6.75
T17,Vision + Gesture without Voice,VALID,VALID,,,,SAFE,PASS,8.67
T18,Voice + Vision + Gesture: Perfect agreement,VALID,VALID,box,box,SAFE,SAFE,PASS,7.45
T19,Unsafe distance (Human too close),VALID,VALID,,,SAFE,SAFE,PASS,6.93
T20,Sensor validity failed,VALID,VALID,,,SAFE,SAFE,PASS,5.72
T21,Stop command overrides everything,VALID,VALID,,,SAFE,SAFE,PASS,4.93
